method,edge_mae,ler_mae,lwr_mae
Classical: Threshold + sub-pixel,0.2848522058993232,0.10509321074387112,0.15626326660416723
Classical: Threshold + sub-pixel,0.2717789485937644,0.08701682092478769,0.09706973650741046
Classical: Threshold + sub-pixel,0.28427771141738184,0.10124192108313579,0.1360906283461425
Classical: Threshold + sub-pixel,0.2729742394041182,0.08918601948467908,0.145292879337366
Classical: Threshold + sub-pixel,0.2833541810455794,0.0945101378531803,0.1593512001372921
Classical: Threshold + sub-pixel,0.281802819856636,0.11282074256507912,0.16568138566379909
Classical: Threshold + sub-pixel,0.2891637472819061,0.09786040591500011,0.13961694044635053
Classical: Threshold + sub-pixel,0.28178844199935016,0.10203606071841598,0.15000379765708582
Classical: Threshold + sub-pixel,0.2793291574581759,0.07766600077245855,0.09931937886053177
Classical: Threshold + sub-pixel,0.27852240106291243,0.09343572831545166,0.12828109636508644
Classical: Threshold + sub-pixel,0.2775207615832538,0.09729950438144896,0.16125240802792207
Classical: Threshold + sub-pixel,0.2772403822435477,0.08204304520812677,0.10465307380089994
Classical: Threshold + sub-pixel,0.27773752416842246,0.08770483890377045,0.1247425662299333
Classical: Threshold + sub-pixel,0.2762319741746229,0.08547714658992489,0.13065057698618165
Classical: Threshold + sub-pixel,0.27803794327500664,0.09025457362871347,0.10681149864790607
Classical: Threshold + sub-pixel,0.28166256391221556,0.06942334284626284,0.07433311732887704
Classical: Threshold + sub-pixel,0.28612610403279215,0.08261318177528831,0.08877897546605329
Classical: Threshold + sub-pixel,0.28251975630300835,0.09436422895706942,0.14881140286440653
Classical: Threshold + sub-pixel,0.2727087428257746,0.09177383919800786,0.12761902976261585
Classical: Threshold + sub-pixel,0.2859781802126079,0.08226049531810542,0.128754898406932
Classical: Threshold + sub-pixel,0.27532469452051067,0.08852914239874243,0.11270287978332938
Classical: Threshold + sub-pixel,0.27640351486428266,0.07798446943860249,0.10803719535227785
Classical: Threshold + sub-pixel,0.27373040870426046,0.06388994065104703,0.0803443403389239
Classical: Threshold + sub-pixel,0.28120569768829307,0.08675563473165215,0.10398584880356943
Classical: Threshold + sub-pixel,0.2853946247557172,0.0907984295509956,0.12331661061677801
Classical: Threshold + sub-pixel,0.27648399323764716,0.08611456857349542,0.13107869703530595
Classical: Threshold + sub-pixel,0.2851277223141544,0.07905340778270531,0.11578967371553084
